"gene","DESeq2_log2FC","DESeq2_padj","DESeq2_group","edgeR_log2FC","edgeR_FDR","edgeR_group"
"AT5G37010",0.261220984,NA,"ns",0.220030745569869,0.774719234780968,"ns"
"AT5G37055",-0.337178069,NA,"ns",-0.31820475416043,0.70914732017018,"ns"
"AT5G37070",-0.088259216,NA,"ns",-0.118577514562728,0.869027665168114,"ns"
"AT5G37180",0.314698355,NA,"ns",0.232558445318232,0.81318547801083,"ns"
"AT5G37260",0.336539616,NA,"ns",0.357464432806822,0.843066417061172,"ns"
"AT5G37290",-0.340797733,NA,"ns",-0.301788773617611,0.702909831914701,"ns"
"AT5G37300",0.796724652,NA,"ns",0.745604336661403,0.390722033739399,"ns"
"AT5G37340",1.439456118,NA,"ns",0.797527427468861,0.689275689634764,"ns"
"AT5G37480",-0.453213709,NA,"ns",-0.37205952432542,0.752237310184681,"ns"
"AT5G37590",-0.008264945,NA,"ns",-0.0120013801376634,0.989450859917567,"ns"
"AT5G37630",0.031833932,NA,"ns",0.0190998545926617,0.980898998160746,"ns"
"AT5G37660",-0.22005988,NA,"ns",-0.236511605933376,0.753671511984468,"ns"
"AT5G37680",-0.10215125,NA,"ns",-0.100688021882028,0.936921919111156,"ns"
"AT5G37690",1.28191862,NA,"ns",0.698880248918689,0.726109232095068,"ns"
"AT5G37890",-0.216984023,NA,"ns",-0.196404187959541,0.801754392637828,"ns"
"AT5G37950",0.483280052,NA,"ns",0.447905410489222,0.571885281263077,"ns"
"AT5G38000",-1.417640242,NA,"ns",-1.26679409889137,0.28931507883473,"ns"
"AT5G38010",-0.020373078,NA,"ns",-0.0265161315375332,0.971750258277249,"ns"
"AT5G38100",-0.32092914,NA,"ns",-0.322089228620836,0.619700007829841,"ns"
"AT5G38110",0.045673163,NA,"ns",0.00738801457703507,0.993009387305075,"ns"
"AT5G38210",-4.169669301,NA,"ns",-3.74661214046455,0.202655544341155,"ns"
"AT5G38280",0.236840925,NA,"ns",0.223687831266185,0.694203046050775,"ns"
"AT5G38290",-0.60432282,NA,"ns",-0.575789465148915,0.465462666128198,"ns"
"AT5G38340",0.512737732,NA,"ns",0.417602135115774,0.612739572119993,"ns"
"AT5G38360",1.355589903,NA,"ns",0.957150207281013,0.634505815205239,"ns"
"AT5G38510",0.058671887,NA,"ns",0.0523813187958891,0.953287797983782,"ns"
"AT5G38550",0.467262614,NA,"ns",0.413375355526419,0.571735258292516,"ns"
"AT5G38590",0.640492319,NA,"ns",0.591633445490715,0.402429771658645,"ns"
"AT5G38610",-1.213327239,NA,"ns",-1.06691613911008,0.353809490058584,"ns"
"AT5G38720",-2.459749119,NA,"ns",-1.9656940620971,0.316108943292044,"ns"
"AT5G38860",1.002698949,NA,"ns",0.90538298016999,0.315029250942956,"ns"
"AT5G38940",-1.119339118,NA,"ns",-1.05458796887157,0.331749089842629,"ns"
"AT5G38970",-0.421146576,NA,"ns",-0.362123651057541,0.685484759034605,"ns"
"AT5G38980",0.144105665,NA,"ns",0.217020104753972,0.817775912350439,"ns"
"AT5G39020",0.376774134,NA,"ns",0.338112452802293,0.737627294873625,"ns"
"AT5G39150",-0.571400777,NA,"ns",-0.4639333007747,0.705480437009138,"ns"
"AT5G39160",2.133066297,NA,"ns",1.35843242027905,0.47016401512896,"ns"
"AT5G39180",-0.850499411,NA,"ns",-0.749307564062217,0.455768730068583,"ns"
"AT5G39190",1.838201029,NA,"ns",1.18438712404566,0.518283030946484,"ns"
"AT5G39210",-0.792288903,NA,"ns",-0.611148389935781,0.572585154925995,"ns"
"AT5G39240",-0.131220637,NA,"ns",-0.0631173410211572,0.960371056702217,"ns"
"AT5G39250",-1.32328384,NA,"ns",-1.09721724690417,0.38264135570327,"ns"
"AT5G39380",0.348539573,NA,"ns",0.245567934728935,0.777126479043517,"ns"
"AT5G39450",-0.002388415,NA,"ns",-0.0203453491329534,0.976655048870509,"ns"
"AT5G39550",1.669085438,NA,"ns",1.06436257325513,0.578472979030601,"ns"
"AT5G39600",-0.46899249,NA,"ns",-0.41751377791531,0.599048318514326,"ns"
"AT5G39710",0.749972278,NA,"ns",0.639872495141984,0.529709703219399,"ns"
"AT5G39785",0.281127188,NA,"ns",0.35793569947321,0.727517256079814,"ns"
"AT5G39790",-1.627930895,NA,"ns",-1.03876511877667,0.562315864843025,"ns"
"AT5G39800",0.282749936,NA,"ns",0.31152281696201,0.756498378825719,"ns"
"AT5G39840",0.180112864,NA,"ns",0.176081327522404,0.84788389684544,"ns"
"AT5G39860",1.673393507,NA,"ns",1.57353647292093,0.224792740860891,"ns"
"AT5G39865",-0.076199855,NA,"ns",-0.0864250750876632,0.900239126470707,"ns"
"AT5G39900",0.655467299,NA,"ns",0.616816888763622,0.391762304643426,"ns"
"AT5G39940",-0.147230308,NA,"ns",-0.152656596646588,0.866752806993592,"ns"
"AT5G39960",-1.729729676,NA,"ns",-1.22953419112413,0.476269355901933,"ns"
"AT5G39980",-0.444329214,NA,"ns",-0.279981469790086,0.839023171998705,"ns"
"AT5G40020",-1.151549359,NA,"ns",-1.14852160715419,0.22495955800297,"ns"
"AT5G40060",2.285892609,NA,"ns",1.453646035067,0.468668858484196,"ns"
"AT5G40140",0.047424548,NA,"ns",0.0325040991585131,0.969421668616499,"ns"
"AT5G40150",0.65802134,NA,"ns",0.647925205176771,0.353809490058584,"ns"
"AT5G40160",0.842480694,NA,"ns",0.589446137079433,0.800335957605037,"ns"
"AT5G40270",-1.342720846,NA,"ns",-1.29960564593327,0.224792740860891,"ns"
"AT5G40280",0.134584424,NA,"ns",0.100369993337559,0.881784706381964,"ns"
